Symbol_TF,Entry,Entry_Param,Exit,Exit_Param,PnL%,Win_Rate%,Trades
BTCUSDT_4h,RSI,25.0,BB_Exit_B,0.65,71.7,100.0,24
BTCUSDT_4h,RSI,40.0,RSI,40.0,71.58,99.07,107
ETHUSDT_4h,RSI,30.0,BB_Exit_B,0.65,71.13,94.74,19
ETHUSDT_1d,BB_Reversal,,BB_Exit_B,0.65,70.99,100.0,15
ETHUSDT_1d,BB_Reversal,,RSI,40.0,70.62,100.0,23
ETHUSDT_4h,RSI,20.0,RSI,60.0,69.84,100.0,12
ETHUSDT_1d,RSI,30.0,BB_Exit_B,0.9,69.21,85.71,7
ETHUSDT_1d,RSI,25.0,SuperTrend,,68.99,100.0,3
ETHUSDT_1d,RSI,25.0,RSI,60.0,68.99,100.0,3
BTCUSDT_4h,RSI,25.0,BB_Exit_B,0.6,68.96,100.0,24
ETHUSDT_1h,RSI,20.0,BB_Exit_B,0.6,68.81,100.0,39
ETHUSDT_1h,RSI,20.0,BB_Exit_B,0.65,68.21,97.37,38
BTCUSDT_1h,RSI,40.0,BB_Exit_B,0.9,67.58,98.33,60
BTCUSDT_1d,RSI,30.0,RSI,50.0,67.12,87.5,8
BTCUSDT_1d,RSI,30.0,BB_Exit_A,,66.54,87.5,8
BTCUSDT_1h,RSI,30.0,RSI,45.0,66.38,98.85,87
BTCUSDT_4h,KAMA_SuperTrend,,BB_Exit_A,,65.65,98.77,81
BTCUSDT_4h,RSI,25.0,RSI,40.0,65.54,100.0,25
ETHUSDT_1d,BB_Reversal,,BB_Exit_B,0.6,65.45,100.0,15
BTCUSDT_4h,KAMA_SuperTrend,,RSI,45.0,64.77,99.09,110
ETHUSDT_4h,RSI,20.0,RSI,50.0,64.09,100.0,12
ETHUSDT_4h,BB_Reversal,,RSI,50.0,63.45,97.14,35
ETHUSDT_1d,RSI,40.0,SuperTrend,,63.04,91.67,12
BTCUSDT_1h,RSI,30.0,RSI,50.0,62.65,98.53,68
BTCUSDT_1h,RSI,20.0,BB_Exit_B,0.8,62.6,100.0,29
BTCUSDT_1h,RSI,30.0,RSI,40.0,61.56,99.07,108
BTCUSDT_4h,RSI,20.0,RSI,60.0,61.47,100.0,8
ETHUSDT_1d,RSI,30.0,BB_Exit_B,0.85,61.1,85.71,7
BTCUSDT_4h,KAMA_SuperTrend,,RSI,50.0,60.66,98.77,81
BTCUSDT_4h,BB_Reversal,,BB_Exit_B,0.9,60.22,94.12,17
BTCUSDT_4h,RSI,30.0,BB_Exit_B,0.8,60.12,96.3,27
ETHUSDT_1d,BB_Reversal,,BB_Exit_B,0.85,59.91,90.91,11
BTCUSDT_1h,RSI,20.0,BB_Exit_B,0.75,59.86,100.0,29
BTCUSDT_4h,RSI,30.0,BB_Exit_A,,59.57,97.06,34
ETHUSDT_1d,RSI,30.0,BB_Exit_B,0.75,59.49,87.5,8
ETHUSDT_1d,RSI,30.0,BB_Exit_B,0.8,59.48,85.71,7
BTCUSDT_1h,RSI,20.0,RSI,60.0,59.16,100.0,28
BTCUSDT_1h,RSI,20.0,BB_Exit_B,0.85,58.91,100.0,26
BTCUSDT_1d,RSI,30.0,RSI,40.0,58.83,88.89,9
ETHUSDT_1d,BB_Reversal,,BB_Exit_B,0.9,58.8,88.89,9
BTCUSDT_1h,RSI,20.0,BB_Exit_B,0.9,58.68,100.0,26
BTCUSDT_1h,RSI,25.0,BB_Exit_B,0.8,58.12,98.0,50
ETHUSDT_1d,RSI,30.0,BB_Exit_B,0.6,57.75,100.0,9
ETHUSDT_4h,RSI,25.0,BB_Exit_B,0.85,56.98,92.31,13
